,Column,year,id,artist and album name,release format,label,genre,subgenre,want,have
135615,74468,2020,15476140,Elvis* - 100 Super Rocks,Unofficial Release,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",10,8
135621,74470,2020,15476150,Elvis* - 100 Super Rocks,Box Set,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",8,6
135622,74470,2020,15476150,Elvis* - 100 Super Rocks,Compilation,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",8,6
135623,74470,2020,15476150,Elvis* - 100 Super Rocks,CD,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",8,6
135624,74470,2020,15476150,Elvis* - 100 Super Rocks,Unofficial Release,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",8,6
135654,74479,2020,15476035,Elvis* - 100 Super Rocks,Box Set,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",10,5
135655,74479,2020,15476035,Elvis* - 100 Super Rocks,Compilation,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",10,5
135656,74479,2020,15476035,Elvis* - 100 Super Rocks,CD,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",10,5
135657,74479,2020,15476035,Elvis* - 100 Super Rocks,Unofficial Release,Not On Label (Elvis Presley),"Rock, Pop","Rock & Roll, Ballad",10,5
135688,74486,2020,15606061,Elvis Presley - Elvis' The Alternate Golden Records Album Collection,CD,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",15,10
135689,74486,2020,15606061,Elvis Presley - Elvis' The Alternate Golden Records Album Collection,Album,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",15,10
135690,74486,2020,15606061,Elvis Presley - Elvis' The Alternate Golden Records Album Collection,Unofficial Release,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",15,10
135691,74486,2020,15606061,Elvis Presley - Elvis' The Alternate Golden Records Album Collection,Box Set,"Not On Label (Elvis Presley), Gold Standard Series","Rock, Pop","Ballad, Rock & Roll",15,10
135722,74498,2020,15610688,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Vinyl,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",21,3
135723,74498,2020,15610688,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",LP,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",21,3
135724,74498,2020,15610688,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Compilation,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",21,3
135725,74498,2020,15610688,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Limited Edition,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",21,3
135726,74498,2020,15610688,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Stereo,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",21,3
135727,74498,2020,15610688,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",CD,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",21,3
